loinc_num,long_common_name,classtype,found_in_lab,found_in_obs_clin,found_in_obs_gen
45083-3,Deprecated Chlamydia trachoma,1,1,,
45084-1,Chlamydia trachomatis DNA [Pr,1,1,,
45085-8,Chlamydia trachomatis rRNA [P,1,1,,
45086-6,Chlamydia trachomatis DNA [Pr,1,1,,
45087-4,Deprecated Chlamydia trachoma,1,1,,
4508-8,Complement C7 [Mass/volume] i,1,1,,
45088-2,Deprecated Chlamydia trachoma,1,1,,
45089-0,Chlamydia trachomatis rRNA [P,1,1,,
45090-8,Chlamydia trachomatis DNA [Pr,1,1,,
45091-6,Chlamydia trachomatis Ag [Pre,1,1,,
45092-4,Chlamydia trachomatis Ag [Pre,1,1,,
45093-2,Chlamydia trachomatis [Presen,1,1,,
45094-0,Chlamydia trachomatis [Presen,1,1,,
45095-7,Chlamydia trachomatis [Presen,1,1,,
4509-6,Complement C8 [Mass/volume] i,1,1,,
45096-5,Chlamydia trachomatis [Presen,1,1,,
45097-3,Chlamydia sp identified in An,1,1,,
45098-1,Chlamydia sp identified in Ce,1,1,,
45099-9,Chlamydia sp identified in Bo,1,1,,
45100-5,Chlamydia sp identified in Va,1,1,,
45101-3,Chlamydia sp identified in Na,1,1,,
45102-1,Deprecated Chlamydia sp ident,1,1,,
45103-9,Chlamydia sp Ag [Presence] in,1,1,,
4510-4,Complement C9 [Mass/volume] i,1,1,,
45104-7,Chlamydia sp Ag [Presence] in,1,1,,
45105-4,Chlamydia sp Ag [Presence] in,1,1,,
45106-2,Chlamydia sp Ag [Presence] in,1,1,,
45107-0,Chlamydia sp Ag [Presence] in,1,1,,
45108-8,Chlamydia sp Ag [Presence] in,1,1,,
45109-6,Chlamydia sp Ag [Presence] in,1,1,,
45110-4,Deprecated Chlamydia sp Ag [P,1,1,,
45111-2,Deprecated Chlamydia sp Ag [P,1,1,,
4511-2,Complement total hemolytic CH,1,1,,
45112-0,Chlamydia sp Ag [Presence] in,1,1,,
45113-8,Chlamydia sp Ag [Presence] in,1,1,,
45114-6,Chlamydia sp Ag [Presence] in,1,1,,
45115-3,Chlamydia sp Ag [Presence] in,1,1,,
45116-1,Mycobacterium gordonae rRNA [,1,1,,
45117-9,Mycobacterium kansasii rRNA [,1,1,,
45118-7,Vesicular stomatitis Indiana,1,1,,
45119-5,Deprecated Vesicular stomatit,1,1,,
4512-0,Deprecated Complement total h,1,1,,
45120-3,Vesicular stomatitis Indiana,1,1,,
45121-1,Cocal virus Ag [Presence] in,1,1,,
45122-9,Cocal virus Ag [Presence] in,1,1,,
45123-7,Cocal virus Ab [Titer] in Ser,1,1,,
45124-5,Vesicular stomatitis Alagoas,1,1,,
45125-2,Vesicular stomatitis Alagoas,1,1,,
45126-0,Vesicular stomatitis Alagoas,1,1,,
45127-8,Vesicular stomatitis New Jers,1,1,,
45128-6,Vesicular stomatitis New Jers,1,1,,
45129-4,FDA product label Human presc,2,,1,1
45130-2,Chlamydia trachomatis Ab [Pre,1,1,,
45131-0,Chlamydia sp Ag [Presence] in,1,1,,
45132-8,Chlamydia sp Ag [Presence] in,1,1,,
45133-6,Chlamydia sp Ag [Presence] in,1,1,,
45134-4,Campylobacter jejuni IgM Ab [,1,1,,
45135-1,Chlamydia trachomatis IgG Ab,1,1,,
45136-9,Endomysium IgG Ab [Units/volu,1,1,,
45137-7,IgA.secretory [Mass/volume] i,1,1,,
4513-8,Complement C1r2+C1s2 [Mass/vo,1,1,,
45138-5,Listeria monocytogenes O4b Ig,1,1,,
45139-3,Listeria monocytogenes O4b Ig,1,1,,
45140-1,Phenols [Mass/time] in 24 hou,1,1,,
45141-9,Platelet associated Ab [Prese,1,1,,
45142-7,Sjogrens syndrome-B extractab,1,1,,
45143-5,Methylenedioxyethylamphetamin,1,1,,
45144-3,Clomipramine [Presence] in Ur,1,1,,
45145-0,Methdilazine [Presence] in Se,1,1,,
4514-6,Complement decay accelerating,1,1,,
45146-8,Triflupromazine [Presence] in,1,1,,
45147-6,Propiomazine [Presence] in Se,1,1,,
45148-4,OmpC IgA Ab [Presence] in Ser,1,1,,
45149-2,Ej Ab [Presence] in Serum,1,1,,
451-5,Spectinomycin [Susceptibility,1,1,,
45150-0,Neutrophil Ab [Units/volume],1,1,,
45151-8,Neutrophil cytoplasmic Ab [Un,1,1,,
45152-6,OJ Ab [Presence] in Serum,1,1,,
4515-3,Deprecated Complement factor,1,1,,
45153-4,HLA Ab in Serum,1,1,,
45154-2,Phenylalanine hydroxylase Ab,1,1,,
45155-9,Heparin induced platelet Ab [,1,1,,
45156-7,Rheumatoid factor [Presence],1,1,,
45157-5,U2 small nuclear ribonucleopr,1,1,,
45158-3,Immune complex [Units/volume],1,1,,
45159-1,Hepatitis B virus and Hepatit,1,1,,
45160-9,Acremonium sp Ab [Presence] i,1,1,,
4516-1,Complement factor Ba [Mass/vo,1,1,,
45161-7,Hepatitis B virus DNA [Log #/,1,1,,
45162-5,Escherichia coli O157 Ag [Pre,1,1,,
45163-3,Alternaria alternata Ab [Pres,1,1,,
45164-1,Asialoganglioside GM2 Ab [Pre,1,1,,
45165-8,Borrelia burgdorferi IgA Ab [,1,1,,
45166-6,Corynebacterium diphtheriae I,1,1,,
45167-4,IgE [Mass/volume] in Unspecif,1,1,,
45168-2,Malonate [Mass/volume] in Uri,1,1,,
45169-0,Ganglioside GM1 IgG Ab [Prese,1,1,,
45170-8,Myelin associated glycoprotei,1,1,,
45171-6,Pancreatic islet cell Ab [Uni,1,1,,
45172-4,Purkinje cells Ab [Units/volu,1,1,,
45173-2,Thyrotropin.alpha subunit [Ma,1,1,,
45174-0,Herpes gestationis Ab panel -,1,1,,
45175-7,HIV nucleoside reverse transc,1,1,,
45176-5,HIV nonnucleoside reverse tra,1,1,,
45177-3,Herpes gestationis IgG Ab non,1,1,,
45178-1,Basement membrane zone IgG Ab,1,1,,
4517-9,Complement factor Bb [Mass/vo,1,1,,
45179-9,Herpes gestationis IgG Ab com,1,1,,
45180-7,1p chromosome deletion [Prese,1,1,,
45181-5,19q chromosome deletion [Pres,1,1,,
45182-3,HIV phenotype [Susceptibility,1,1,,
45183-1,Neisseria meningitidis [Ident,1,1,,
45184-9,11-Deoxycortisol/Cortisol [Ma,1,1,,
45185-6,2-Oxo-3-Hydroxy-Lysergate die,1,1,,
45186-4,Kiwifruit IgE Ab/IgE total in,1,1,,
4518-7,Complement factor D [Mass/vol,1,1,,
45187-2,Other Antibiotic [Susceptibil,1,1,,
45188-0,Basement membrane zone BP180,1,1,,
45189-8,Borrelia burgdorferi Ab [Pres,1,1,,
45190-6,CASR gene mutations found [Id,1,1,,
45191-4,CAPN3 gene mutations found [I,1,1,,
45192-2,Carnitine esters/Carnitine.fr,1,1,,
45193-0,CD20+CD52+ cells/100 cells in,1,1,,
45194-8,Choriogonadotropin.intact+Bet,1,1,,
4519-5,Complement factor H [Mass/vol,1,1,,
45195-5,Cow epithelium+Cow dander IgE,1,1,,
45196-3,Cytokines [Presence] in Unspe,1,1,,
45197-1,Decanoylcarnitine (C10) [Mole,1,1,,
45198-9,Decenoylcarnitine (C10:1) [Mo,1,1,,
45199-7,Dodecanoylcarnitine (C12) [Mo,1,1,,
45200-3,Dodecenoylcarnitine (C12:1) [,1,1,,
45201-1,Whole Egg IgG Ab [Mass/volume,1,1,,
45202-9,Deprecated Ganglioside GD1a A,1,1,,
4520-3,Complement factor I [Mass/vol,1,1,,
45203-7,Deprecated Ganglioside GQ1b A,1,1,,
45204-5,Glucose [Mass/volume] in Urin,1,1,,
45205-2,Glucose [Mass/volume] in Urin,1,1,,
45206-0,Glucose [Mass/volume] in Urin,1,1,,
45207-8,Glutarylcarnitine (C5-DC) [Mo,1,1,,
45208-6,Hemoglobin A [Presence] in Bl,1,1,,
45209-4,Heptacarboxylporphyrin [Moles,1,1,,
45210-2,Herpes simplex virus 2 IgM Ab,1,1,,
4521-1,Complement factor P [Mass/vol,1,1,,
45211-0,Hexanoylcarnitine (C6) [Moles,1,1,,
45212-8,HIV 2 p31+p34 Ab [Presence] i,1,1,,
45213-6,Isobutyrylcarnitine (C4) [Mol,1,1,,
45214-4,Isoleucine+Leucine [Moles/vol,1,1,,
45215-1,Isoniazid 2 ug/mL [Susceptibi,1,1,,
45216-9,Isovalerylcarnitine+Methylbut,1,1,,
45217-7,Linoleoylcarnitine (C18:2) [M,1,1,,
45218-5,Lymphocytic choriomeningitis,1,1,,
45219-3,Lymphocytic choriomeningitis,1,1,,
45220-1,Lymphocytic choriomeningitis,1,1,,
45221-9,Lymphocytic choriomeningitis,1,1,,
45222-7,Methylmalonylcarnitine (C4-DC,1,1,,
45223-5,Deprecated Moxifloxacin [Mass,1,1,,
45224-3,Mycoplasma pneumoniae IgG Ab,1,1,,
45225-0,Pancreatic islet cell complem,1,1,,
45226-8,Ribosomal P IgG Ab [Presence],1,1,,
45227-6,Blackberry IgE Ab/IgE total i,1,1,,
45228-4,Streptolysin O Ab [Mass/volum,1,1,,
4522-9,Complement iC3 [Mass/volume],1,1,,
45229-2,Toxocara cati Ab [Presence] i,1,1,,
452-3,Spectinomycin [Susceptibility,1,1,,
45230-0,District where patient entere,2,,1,1
45231-8,HIV treatment prior to enroll,2,,1,1
45232-6,Reason medically eligible for,2,,1,1
45233-4,World Health Organization HIV,2,,1,1
45234-2,Date eligible and selected to,2,,1,1
45235-9,Date original clinic HIV trea,2,,1,1
45236-7,HIV treatment cohort,2,,1,1
4523-7,Complement iC3b receptors [En,1,1,,
53741-5,HLA-DRB1*7 [Presence],1,1,,
45237-5,Date lost to HIV treatment fo,2,,1,1
45238-3,Date lost to HIV treatment th,2,,1,1
45239-1,Current HIV treatment therapy,2,,1,1
45240-9,Isoniazid therapy start date,2,,1,1
45241-7,Tuberculosis status,2,,1,1
45242-5,Tuberculosis treatment start,2,,1,1
45243-3,Reason for discontinuation of,2,,1,1
45244-1,Percent HIV ART medication do,2,,1,1
4524-5,Complement membrane attack co,1,1,,
45245-8,Degree of adherence to co-tri,2,,1,1
45246-6,Degree of adherence to anti-r,2,,1,1
45247-4,Reason for missing HIV treatm,2,,1,1
45248-2,Number of hospital days since,2,,1,1
45249-0,Evidence of tuberculosis resi,2,,1,1
45250-8,HIV confirmation facility Add,2,,1,1
45251-6,HIV confirmation facility,2,,1,1
4525-2,Complement membrane C3b-C4b c,1,1,,
45252-4,Institutional entry point HIV,2,,1,1
45253-2,HIV treatment prior clinic tr,2,,1,1
45254-0,HIV treatment prior clinic tr,2,,1,1
45255-7,HIV treatment clinic transfer,2,,1,1
45256-5,HIV treatment clinic transfer,2,,1,1
45257-3,Date dropped from HIV treatme,2,,1,1
45258-1,Percent HIV ART medication do,2,,1,1
45259-9,Percent HIV ART actual prescr,2,,1,1
4526-0,Deprecated Complement protein,1,1,,
45260-7,HIV ART medication,2,,1,1
45261-5,Number of HIV antiretroviral,2,,1,1
45262-3,Number of HIV antiretroviral,2,,1,1
45263-1,Number of HIV antiretroviral,2,,1,1
45264-9,Number of HIV antiretroviral,2,,1,1
45265-6,Immunodeficiency markers [Int,1,1,,
45266-4,Chronic leukemia markers [Int,1,1,,
45267-2,Acute leukemia markers [Inter,1,1,,
45268-0,Immunodeficiency panel - Bloo,1,1,,
45269-8,Chronic leukemia panel - Unsp,1,1,,
45270-6,Acute leukemia panel - Unspec,1,1,,
45271-4,Bordetella bronchiseptica DNA,1,1,,
45272-2,Sympathomimetics [Presence] i,1,1,,
45273-0,Pregnancy associated plasma p,1,1,,
45274-8,Low molecular weight heparin,1,1,,
45275-5,Bacteria identified in Blood,1,1,,
45276-3,Bacteria identified in Blood,1,1,,
45277-1,Lymphocytic choriomeningitis,1,1,,
4527-8,Deprecated Complement recepto,1,1,,
45278-9,Lymphocytic choriomeningitis,1,1,,
45279-7,Influenza virus A+B Ab [Prese,1,1,,
45280-5,Echovirus 9 Ab [Presence] in,1,1,,
45281-3,Echovirus 7 Ab [Presence] in,1,1,,
45282-1,Echovirus 30 Ab [Presence] in,1,1,,
45283-9,Echovirus 11 Ab [Presence] in,1,1,,
45284-7,DPYD gene mutations found [Id,1,1,,
45285-4,Date and time of Dose,1,1,,
4528-6,Deprecated Complement recepto,1,1,,
45286-2,Cytomegalovirus IgA Ab [Prese,1,1,,
45287-0,Coxsackievirus B6 Ab [Presenc,1,1,,
45288-8,Coxsackievirus B5 Ab [Presenc,1,1,,
45289-6,Coxsackievirus B4 Ab [Presenc,1,1,,
45290-4,Coxsackievirus B3 Ab [Presenc,1,1,,
45291-2,Coxsackievirus B2 Ab [Presenc,1,1,,
45292-0,Coxsackievirus B1 Ab [Presenc,1,1,,
45293-8,Choriogonadotropin.beta subun,1,1,,
4529-4,Deprecated Complement recepto,1,1,,
45294-6,Bordetella bronchiseptica DNA,1,1,,
45295-3,Acetylcholinesterase/Cholines,1,1,,
45296-1,Cortisol [Moles/volume] in Se,1,1,,
45297-9,Glucose [Moles/volume] in 24,1,1,,
45298-7,Glucose [Moles/volume] in Ser,1,1,,
45299-5,Glucose [Moles/volume] in Ser,1,1,,
45300-1,Glycerol [Moles/volume] in Se,1,1,,
45301-9,Nortriptyline [Moles/volume],1,1,,
4530-2,Deprecated Complement recepto,1,1,,
45302-7,Urea [Moles/volume] in Dialys,1,1,,
45303-5,Urea [Moles/volume] in Dialys,1,1,,
45304-3,Urea [Moles/volume] in Dialys,1,1,,
45305-0,Coproporphyrin 1 [Moles/mass],1,1,,
45306-8,Coproporphyrin 3 [Moles/mass],1,1,,
45307-6,Deuteroporphyrin [Moles/mass],1,1,,
45308-4,Heptacarboxylate [Moles/mass],1,1,,
45309-2,Hexacarboxylate [Moles/mass],1,1,,
453-1,Spectinomycin [Susceptibility,1,1,,
4531-0,Complement total hemolytic [U,1,1,,
45310-0,Mesoporphyrin [Moles/mass] in,1,1,,
45311-8,Pentacarboxylate [Moles/mass],1,1,,
45312-6,Uroporphyrin 3 isomer [Moles/,1,1,,
45313-4,Coproporphyrin 1/Creatinine [,1,1,,
45314-2,Coproporphyrin 3/Coproporphyr,1,1,,
45315-9,Coproporphyrin 3/Creatinine [,1,1,,
45316-7,Hexacarboxylate/Creatinine [M,1,1,,
45317-5,Pentacarboxylate/Creatinine [,1,1,,
45318-3,Uroporphyrin 3 isomer/Creatin,1,1,,
45319-1,Uroporphyrin/Creatinine [Mola,1,1,,
45320-9,Ecgonine methyl ester [Presen,1,1,,
45321-7,FMR1 gene allele 1 CGG repeat,1,1,,
45322-5,FMR1 gene allele 2 CGG repeat,1,1,,
45323-3,Mycobacterium tuberculosis tu,1,1,,
45324-1,Ethyl glucuronide [Mass/volum,1,1,,
45325-8,Campylobacter jejuni IgG Ab [,1,1,,
45326-6,Cytomegalovirus IgG Ab avidit,1,1,,
45327-4,FMR1 gene targeted mutation a,1,1,,
4532-8,Complement total hemolytic CH,1,1,,
45328-2,Glutathione peroxidase [Enzym,1,1,,
45329-0,Glutathione reductase [Enzyma,1,1,,
45330-8,Leptospira interrogans IgG Ab,1,1,,
45331-6,NF1 gene mutations found [Ide,1,1,,
45332-4,NF2 gene mutations found [Ide,1,1,,
45333-2,Superoxide dismutase [Enzymat,1,1,,
45334-0,Tryptase [Mass/volume] in Bod,1,1,,
45335-7,Bacteria Identification [Pres,1,1,,
4533-6,Complement+Immunoglobulin [Un,1,1,,
45336-5,Bacteria producing hemolysis,1,1,,
45337-3,Bacterial biochemical profile,1,1,,
45338-1,Proinsulin/Insulin [Ratio] in,1,1,,
45339-9,Tick # 4 identified in Unspec,1,1,,
45340-7,Tick # 3 identified in Unspec,1,1,,
45341-5,Tick # 2 identified in Unspec,1,1,,
45342-3,Tick identified in Unspecifie,1,1,,
45343-1,Sex+stage of tick,1,1,,
4534-4,Cyanmethemoglobin/Hemoglobin.,1,1,,
45344-9,Tick mouth intact [Identifier,1,1,,
45345-6,Tick engorgement [presence],1,1,,
45346-4,Date tick removed,1,1,,
45347-2,Date tick attached,1,1,,
45348-0,Date tick acquired,1,1,,
45349-8,Condition of tick [Identifier,1,1,,
45350-6,Tick identification panel,1,1,,
4535-1,Cytotoxic percent reactive Ab,1,1,,
45351-4,Date of skin test,1,1,,
45352-2,Date skin test interpreted,1,1,,
45353-0,Date of analysis of unspecifi,1,1,,
45354-8,Date next dose,2,,1,1
45355-5,Date Rh immune globulin given,1,1,,
45356-3,Time Rh immune globulin given,1,1,,
45357-1,Erythrocytes.filamented [Pres,1,1,,
45358-9,Length of calorie fast,1,1,,
45359-7,Length of time post dose,1,1,,
45360-5,Lymphocyte proliferation stim,1,1,,
45361-3,Lymphocyte proliferation stim,1,1,,
45362-1,Lymphocyte proliferation stim,1,1,,
45363-9,Lymphocyte proliferation stim,1,1,,
45364-7,Lymphocyte proliferation stim,1,1,,
45365-4,Lymphocyte proliferation stim,1,1,,
45366-2,Lymphocyte proliferation stim,1,1,,
45367-0,Lymphocyte proliferation stim,1,1,,
45368-8,Lymphocyte proliferation stim,1,1,,
4536-9,Deoxyhemoglobin/Hemoglobin.to,1,1,,
45369-6,Lymphocyte proliferation stim,1,1,,
45370-4,Platelet crossmatch [Interpre,1,1,,
45371-2,Multiple pregnancy,2,,1,1
45372-0,Blood pressure systolic and d,2,,1,1
45373-8,Medication route [Identifier],1,1,,
45374-6,Specimen expiration date of B,1,1,,
45375-3,Time of analysis of unspecifi,1,1,,
45376-1,Date of transfusion reaction,1,1,,
4537-7,Erythrocyte sedimentation rat,1,1,,
45377-9,Time of transfusion reaction,1,1,,
45378-7,Glutathione peroxidase [Enzym,1,1,,
45379-5,Eosinophils [Presence] in Sto,1,1,,
45380-3,Basophilic stippling fine [Pr,1,1,,
45381-1,Basophilic stippling coarse [,1,1,,
45382-9,Epidermis Ab [Presence] in Se,1,1,,
45383-7,Leukocytes [#/area] in Urine,1,1,,
45384-5,Leucine crystals [#/area] in,1,1,,
4538-5,Erythrocyte sedimentation rat,1,1,,
45385-2,Hippurate crystals [#/area] i,1,1,,
45386-0,Epithelial casts [#/area] in,1,1,,
45387-8,Cystine crystals [#/area] in,1,1,,
45388-6,Calcium phosphate crystals [#,1,1,,
45389-4,Calcium carbonate crystals [#,1,1,,
45390-2,Epithelial cells.squamous [#/,1,1,,
45391-0,Epithelial cells.renal [#/are,1,1,,
45392-8,First name,2,,1,1
4539-3,Erythrocyte sedimentation rat,1,1,,
45393-6,Middle initial,2,,1,1
45394-4,Last name,2,,1,1
45395-1,Name suffix,2,,1,1
45396-9,Social Security number [Ident,2,,1,1
45397-7,Medicare or comparable number,2,,1,1
45398-5,State provider number for Fac,2,,1,1
45399-3,Federal provider number Facil,4,,,1
45400-9,Medicaid number,2,,1,1
4540-1,Deprecated Ethanol gelation,1,1,,
45401-7,Postal code [Location],2,,1,1
45402-5,Language.primary [Minimum Dat,4,,,1
45403-3,Room number [Location],2,,1,1
45404-1,Marital status,2,,1,1
45405-8,Ability to understand others,4,,,1
45406-6,Change in communication/heari,4,,,1
45407-4,Vision [Minimum Data Set],4,,,1
45408-2,Primary reason for assessment,4,,,1
45409-0,Codes for assessments require,4,,,1
45410-8,Admitted from (at entry) Faci,4,,,1
45411-6,Lived alone prior to admissio,4,,,1
45412-4,History of prior stay at this,4,,,1
45413-2,History of stay in other nurs,4,,,1
45414-0,History of stay in other resi,4,,,1
45415-7,History of stay at mental hea,4,,,1
45416-5,History of stay in mental ret,4,,,1
45417-3,None of the listed prior resi,4,,,1
45418-1,Deprecated Lifetime occupatio,4,,,1
4541-9,Deprecated Clot Lysis [Time],1,1,,
45419-9,Language.other [Minimum Data,4,,,1
45420-7,Mental health history [Minimu,4,,,1
45421-5,No mental retardation and dev,4,,,1
45422-3,Down's syndrome [Minimum Data,4,,,1
45423-1,Autism [Minimum Data Set],4,,,1
45424-9,Epilepsy [Minimum Data Set],4,,,1
45425-6,Other organic condition relat,4,,,1
45426-4,Mental retardation and develo,4,,,1
4542-7,Haptoglobin [Mass/volume] in,1,1,,
45427-2,Date background information f,4,,,1
45428-0,Stays up late at night [Minim,4,,,1
45429-8,Naps regularly during day [Mi,4,,,1
45430-6,Goes out 1 or more days a wee,4,,,1
45431-4,"Stays busy with hobbies, read",4,,,1
45432-2,Spends most time alone or wat,4,,,1
45433-0,Moves independently indoors [,4,,,1
45434-8,Use of tobacco products at le,4,,,1
4543-5,Haptoglobin [Mass/volume] in,1,1,,
45435-5,None of the listed cycle of d,4,,,1
45436-3,Distinct food preferences [Mi,4,,,1
45437-1,Eats between meals all or mos,4,,,1
45438-9,Use of alcohol at least weekl,4,,,1
45439-7,None of the listed eating pat,4,,,1
45440-5,In bedclothes much of day [Mi,4,,,1
45441-3,Wakens to toilet all or most,4,,,1
45442-1,Has irregular bowel movement,4,,,1
4544-3,Hematocrit [Volume Fraction],1,1,,
45443-9,Showers for bathing [Minimum,4,,,1
45444-7,Bathing in PM [Minimum Data S,4,,,1
45445-4,None of the listed additional,4,,,1
45446-2,Daily contact with relatives/,4,,,1
45447-0,"Usually attends church, templ",4,,,1
45448-8,Finds strength in faith [Mini,4,,,1
45449-6,Daily animal companion/presen,4,,,1
4545-0,Hematocrit [Volume Fraction],1,1,,
45450-4,Involved in group activities,4,,,1
45451-2,None of the listed involvemen,4,,,1
45452-0,Unknown customary routine - r,4,,,1
45453-8,Date of last day of MDS obser,4,,,1
45454-6,Original or corrected copy of,4,,,1
45455-3,Date of reentry to facility [,4,,,1
45456-1,Medicaid per diem [Minimum Da,4,,,1
45457-9,Medicare per diem [Minimum Da,4,,,1
45458-7,Medicare ancillary part A [Mi,4,,,1
45459-5,Medicare ancillary part B [Mi,4,,,1
45460-3,CHAMPUS Per Diem [Minimum Dat,4,,,1
45461-1,VA Per Diem [Minimum Data Set,4,,,1
45462-9,Self or family pays for full,4,,,1
45463-7,Medicaid resident liability o,4,,,1
45464-5,Private insurance per diem [M,4,,,1
45465-2,Other per diem [Minimum Data,4,,,1
45466-0,Legal guardian [Minimum Data,4,,,1
45467-8,Other legal oversight [Minimu,4,,,1
4546-8,Hemoglobin A/Hemoglobin.total,1,1,,
45468-6,Health care durable power att,4,,,1
45469-4,Financial durable power attor,4,,,1
45470-2,Family member responsible [Mi,4,,,1
45471-0,Patient responsible for self,4,,,1
45472-8,Responsibility - none of abov,4,,,1
45473-6,Advance directive/living will,2,,1,1
45474-4,Advance directive - do not re,4,,,1
45475-1,Advance directive - do not ho,4,,,1
4547-6,Hemoglobin A1/Hemoglobin.tota,1,1,,
45476-9,Advance directive - organ don,4,,,1
45477-7,Advance directive - autopsy r,4,,,1
45478-5,Advance directive - feeding r,4,,,1
45479-3,Advance directive - medicatio,4,,,1
45480-1,Advance directive - other tre,4,,,1
45481-9,Advance directive - none [Min,4,,,1
45482-7,Comatose [Minimum Data Set],4,,,1
45483-5,Short-term memory OK [Minimum,4,,,1
4548-4,Hemoglobin A1c/Hemoglobin.tot,1,1,,
45484-3,Long-term memory OK [Minimum,4,,,1
45485-0,Can recall current season [Mi,4,,,1
45486-8,Can recall location of own ro,4,,,1
45487-6,Can recall staff names/faces,4,,,1
45488-4,Can recall that he or she is,4,,,1
45489-2,Memory/recall - none of above,4,,,1
454-9,Spectinomycin [Susceptibility,1,1,,
45490-0,Cognitive skills for daily de,4,,,1
45491-8,Easily distracted [Minimum Da,4,,,1
4549-2,Hemoglobin A1c/Hemoglobin.tot,1,1,,
45492-6,Periods of altered perception,4,,,1
45493-4,Episodes of disorganized spee,4,,,1
45494-2,Periods of restlessness [Mini,4,,,1
45495-9,Periods of lethargy [Minimum,4,,,1
45496-7,Mental function varies over t,4,,,1
45497-5,Change in cognitive status [M,4,,,1
45498-3,Hearing [Minimum Data Set],4,,,1
45499-1,Hearing aid present and used,4,,,1
45-5,Aztreonam [Susceptibility] by,1,1,,
4550-0,Hemoglobin A2 [Moles/volume],1,1,,
45500-6,Hearing aid present and not u,4,,,1
45501-4,Other receptive communication,4,,,1
45502-2,No communication device [Mini,4,,,1
45503-0,Uses speech [Minimum Data Set,4,,,1
45504-8,Uses written messages to expr,4,,,1
45505-5,Uses American sign language o,4,,,1
45506-3,Uses signs/gestures/sounds [M,4,,,1
45507-1,Uses communication board [Min,4,,,1
45508-9,Uses other modes of expressio,4,,,1
45509-7,Modes of expression - none of,4,,,1
45510-5,Making self understood [Minim,4,,,1
45511-3,Speech clarity [Minimum Data,4,,,1
45512-1,Side vision problems [Minimum,4,,,1
45513-9,Sees halos or rings around li,4,,,1
45514-7,No visual limitations [Minimu,4,,,1
45515-4,Visual appliances [Minimum Da,4,,,1
45516-2,Resident made negative statem,4,,,1
45517-0,Repetitive questions [Minimum,4,,,1
4551-8,Hemoglobin A2/Hemoglobin.tota,1,1,,
45518-8,Repetitive verbalizations [Mi,4,,,1
45519-6,Persistent anger with self or,4,,,1
45520-4,Self deprecation [Minimum Dat,4,,,1
45521-2,Expression of what appear to,4,,,1
45522-0,Recurrent statements that som,4,,,1
45523-8,Balance while sitting - posit,4,,,1
45524-6,Range of motion Neck [Minimum,4,,,1
45525-3,Voluntary movement Neck [Mini,4,,,1
4552-6,Hemoglobin A2/Hemoglobin.tota,1,1,,
45526-1,Range of motion Upper extremi,4,,,1
45527-9,Voluntary movement Upper extr,4,,,1
45528-7,Range of motion Hand [Minimum,4,,,1
45529-5,Voluntary movement Hand [Mini,4,,,1
45530-3,Range of motion Lower extremi,4,,,1
45531-1,Voluntary movement Lower extr,4,,,1
45532-9,Range of motion Foot [Minimum,4,,,1
45533-7,Voluntary movement Foot [Mini,4,,,1
4553-4,Hemoglobin A2/Hemoglobin.tota,1,1,,
45534-5,Other limitation or loss - ra,4,,,1
45535-2,Other limitation or loss - vo,4,,,1
45536-0,"Uses cane, walker or crutch [",4,,,1
45537-8,Wheeled self [Minimum Data Se,4,,,1
45538-6,Other person wheeled [Minimum,4,,,1
45539-4,Wheelchair primary mode of lo,4,,,1
45540-2,No modes of locomotion [Minim,4,,,1
45541-0,Bedfast all or most of the ti,4,,,1
4554-2,Hemoglobin A2/Hemoglobin.tota,1,1,,
45542-8,Bed rails used for bed mobili,4,,,1
45543-6,Lifted manually [Minimum Data,4,,,1
45544-4,Lifted mechanically [Minimum,4,,,1
45545-1,Transfer aid [Minimum Data Se,4,,,1
45546-9,No mode of transfer [Minimum,4,,,1
45547-7,Repetitive health complaints,4,,,1
45548-5,Repetitive anxious complaints,4,,,1
45549-3,Unpleasant mood in morning [M,4,,,1
45550-1,Insomnia/change in sleeping p,4,,,1
45551-9,"Sad, pained, or worried facia",4,,,1
45552-7,Crying or tearfulness [Minimu,4,,,1
45553-5,Repetitive physical movements,4,,,1
45554-3,Withdrawal from activities of,4,,,1
45555-0,Reduced social interaction [M,4,,,1
45556-8,Mood persistence [Minimum Dat,4,,,1
45557-6,Change in mood [Minimum Data,4,,,1
45558-4,Frequency of wandering [Minim,4,,,1
4555-9,Hemoglobin A3/Hemoglobin.tota,1,1,,
45559-2,Alterability of wandering [Mi,4,,,1
455-6,Spiramycin [Susceptibility] b,1,1,,
45560-0,Frequency of verbally abusive,4,,,1
45561-8,Alterability of verbally abus,4,,,1
45562-6,Frequency of physically abusi,4,,,1
45563-4,Alterability of physically ab,4,,,1
45564-2,Frequency of socially inappro,4,,,1
45565-9,Alterability of socially inap,4,,,1
45566-7,Frequency of resists care [Mi,4,,,1
4556-7,Hemoglobin Abruzzo [Presence],1,1,,
45567-5,Alterability of resists care,4,,,1
45568-3,Change in behavioral symptoms,4,,,1
45569-1,At ease interacting with othe,4,,,1
45570-9,At ease doing planned or stru,4,,,1
45571-7,At ease doing self-initiated,4,,,1
45572-5,Establishes own goals [Minimu,4,,,1
45573-3,Pursues involvement in life o,4,,,1
45574-1,Accepts invitations to most g,4,,,1
4557-5,Hemoglobin Abruzzo [Presence],1,1,,
45575-8,Sense of initiative - none of,4,,,1
